sep=	
ExpNum	UseCase	WorkloadType	RWProbability	TPS	TxDuration	KeyDistType	ZipSkew	PercentHotKeys	ProbHotKeys	BlockSize	NumOfOrgs	PeersPerOrg	EndorsePolicy	Database	TotTxSubmitted	SuccTxBC	SuccTxCal	FailTxBC	FailTxCal	TotCommTxBC	TotCommTxCal	EndorseFailBC	EndorseErrCal	EndSigErrCal	EndDenyErrCal	TotMVCC	MVCCInter	MVCCIntra	PhantomRead	NumOfCycles	OtherFailBC	OtherFailNameBC	TimeoutFail	OrdererError	SubmitTxError	EndRWMismatCal	CommitErrCal	SubmittxExpErrCal	AvgEndoLat	AvgOrdSubLat	AvgOrdValLat	AvgSuccLat	AvgCommLat	CommThrput	SuccThrput	BroadcastTimeoutFailure
1.00	4.00	0.00	700.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-100000.00	26997.00	0.00	79102.00	-100000.00	106099.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	165.99	0.00	-204.01	55.10	0.00
2.00	4.00	0.00	700.00	10.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	500.00	-100000.00	37790.00	0.00	72893.00	-100000.00	110683.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.73	0.00	-419.63	158.60	0.00
3.00	4.00	0.00	700.00	10.00	50.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	500.00	-100000.00	39647.00	0.00	70161.00	-100000.00	109808.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.76	0.00	-429.55	170.30	0.00
4.00	4.00	0.00	700.00	800.00	50.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40000.00	-100000.00	26841.00	0.00	93935.00	-100000.00	120776.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	158.41	0.00	-210.47	56.50	0.00
5.00	4.00	0.00	700.00	800.00	50.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40000.00	-100000.00	35061.00	0.00	84270.00	-100000.00	119331.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.23	0.00	-392.01	137.40	0.00
6.00	4.00	0.00	700.00	800.00	50.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
